Age,d18O
100,7.77
100,7.77
100,7.83
100,7.83
100,9.21
100,9.21
100,6.75
100,6.75
100,7.04
100,7.04
100,7.04
100,7.04
100,7.07
100,7.07
100,7.12
100,7.12
100,7.18
100,7.18
100,7.77
100,7.77
100,5.72
100,5.75
100,5.78
100,6.33
100,6.42
100,6.62
100,6.7
100,7.41
100,7.62
100,7.66
100,7.67
100,7.75
100,7.76
100,8.34
100,5.72
100,5.72
100,5.75
100,5.75
100,6.42
100,6.42
100,6.62
100,6.62
100,6.7
100,6.7
100,7.62
100,7.62
100,7.66
100,7.66
100,7.76
100,7.76
100,8.34
100,8.34
101,1.69
101,1.69
101,5.3
101,5.3
101,6.2
101,6.2
101,7.28
101,7.28
101,7.45
101,7.45
101,7.94
101,7.94
101,7.99
101,7.99
101,6.82
101,6.82
102,5.6
102,5.6
102,5.07
102,5.07
102,5.55
102,5.55
102,6.17
102,6.17
102,6.98
102,6.98
102,7.11
102,7.11
102,7.15
102,7.15
102,7.38
102,7.38
102,6.56
102,6.56
102,6.59
102,6.59
102,6.64
102,6.64
102,6.64
102,6.64
102,6.75
102,6.75
102,6.76
102,6.76
102,6.83
102,6.83
102,6.9
102,6.9
102,6.97
102,6.97
102,7.03
102,7.03
102,7.05
102,7.05
102,7.08
102,7.08
102,7.28
102,7.28
102,7.32
102,7.32
102,7.35
102,7.35
102,7.42
102,7.42
102,7.43
102,7.43
102,7.43
102,7.43
102,7.44
102,7.44
102,7.49
102,7.49
102,7.58
102,7.58
102,7.58
102,7.58
103,5
103,5
103,7.41
103,7.41
103,5.15
103,5.15
103,5.33
103,5.33
103,6.54
103,6.54
103,6.62
103,6.62
103,6.68
103,6.68
103,6.73
103,6.73
103,6.73
103,6.73
103,7.01
103,7.01
103,7.28
103,7.28
103,7.59
103,7.59
103,7.65
103,7.65
103,5.68
103,5.81
103,5.84
104,7.86
104,7.86
104,4.5
104,4.5
104,5.43
104,5.43
104,6.46
104,6.46
104,7.13
104,7.13
105,4.9
105,4.9
105,5.3
105,5.3
105,4.97
105,4.97
105,5.4
105,5.4
105,6.67
105,6.67
105,7.21
105,7.21
105,7.34
105,7.34
105,7.74
105,7.74
105,7.77
105,7.77
105,8.5
105,8.5
105,6.02
105,6.02
105,7.15
105,7.15
105,7.2
105,7.2
106,5.55
106,5.55
106,5.55
106,5.55
106,7.32
106,7.32
107,5.9
107,5.9
107,4.9
107,4.9
107,5.4
107,5.4
108,2.07
108,2.07
108,4
108,4
108,5.2
108,5.2
108,5.3
108,5.3
108,7.08
108,7.08
108,7.1
108,7.1
109,0.97
109,0.97
110,5.15
110,5.15
110,5.19
110,5.19
110,5.1
110,5.1
110,5.47
110,5.47
110,7.79
110,7.79
110,7.64
110,7.64
110,7.89
110,7.89
110,7.93
110,7.93
110,8.25
110,8.25
110,7.64
110,7.64
110,7.67
110,7.67
110,7.7
110,7.7
111,3.77
111,3.77
111,5.33
111,5.33
111,8.68
111,8.68
111,5.85
111,5.85
111,7.32
111,7.32
111,7.6
111,7.6
112,4.6
112,4.6
112,5.46
112,5.46
112,5.49
112,5.49
112,5.59
112,5.59
112,5.68
112,5.68
112,6.09
112,6.09
112,6.99
112,6.99
112,7.46
112,7.46
112,7.68
112,7.68
112,7.9
112,7.9
112,4.61
112,4.61
112,6.9
112,6.9
112,8.08
112,8.08
113,5.31
113,5.31
113,5.41
113,5.41
113,5.92
113,5.92
113,3.7
113,3.7
113,5.2
113,5.2
113,6.32
113,6.32
113,7.43
113,7.43
113,8.03
113,8.03
113.6,5.78
114,4.61
114,4.61
114,5.55
114,5.55
114,5.56
114,5.56
114,7.92
114,7.92
114,6.27
114,6.27
114,6.35
114,6.35
114,6.71
114,6.71
114,6.9
114,6.9
114,6.96
114,6.96
114,7
114,7
114,7.24
114,7.24
114,7.3
114,7.3
114,7.79
114,7.79
114,7.91
114,7.91
114,8.7
114,8.7
115,4.78
115,4.78
115,5.65
115,5.65
115,4.7
115,4.7
115,5.7
115,5.7
115,6.63
115,6.63
115,6.76
115,6.76
115,6.77
115,6.77
115,6.78
115,6.78
115,7.67
115,7.67
115,7.88
115,7.88
115,6.7
115,6.7
115,8.1
115,8.1
115,6.46
115,6.46
115,4.07
115,4.07
115,4.8
115,4.8
115,4.83
115,4.83
115,4.9
115,4.9
115,5.14
115,5.14
115,5.39
115,5.39
115.4,5.8
116,4.81
116,4.81
116,5.25
116,5.25
116,6.06
116,6.06
116,8.68
116,8.68
116,8.72
116,8.72
116,6.34
116,6.34
117,5.54
117,5.54
117,5.73
117,5.73
117,5.6
117,5.6
117,6.99
117,6.99
117,7.85
117,7.85
117,7.89
117,7.89
117,7.9
117,7.9
117.4,6.57
117.5,6.63
118,4.9
118,4.9
118,5.22
118,5.22
118,5.96
118,5.96
118,5.58
118,5.58
118.4,6.66
118.5,6.54
118.5,6.56
118.6,6.5
119,4.12
119,4.12
119,5.04
119,5.04
119,5.13
119,5.13
119,5.98
119,5.98
119,4.5
119,4.5
119,4.9
119,4.9
119,5.82
119,5.82
120,2.26
120,2.26
120,3.96
120,3.96
120,4.61
120,4.61
120,5.16
120,5.16
120,4.4
120,4.4
120,5.6
120,5.6
120,5.64
120,5.64
120,4.83
120,4.83
120,4.95
120,4.95
120,4.97
120,4.97
120,5.03
120,5.03
120,5.09
120,5.09
120,5.09
120,5.09
120,5.19
120,5.19
120,5.33
120,5.33
120,5.46
120,5.46
120,4.48
120,4.48
120,4.51
120,4.51
120,4.55
120,4.55
120,4.6
120,4.6
120,4.61
120,4.61
120,4.62
120,4.62
120,4.62
120,4.62
120,4.63
120,4.63
120,4.68
120,4.68
120,4.74
120,4.74
120,4.74
120,4.74
120,4.78
120,4.78
120,4.85
120,4.85
120,4.87
120,4.87
120,4.96
120,4.96
120,5.09
120,5.09
120,5.12
120,5.12
120,5.18
120,5.18
120,5.27
120,5.27
120,5.27
120,5.27
120,5.31
120,5.31
120,5.33
120,5.33
120,5.34
120,5.34
120,5.35
120,5.35
120,5.36
120,5.36
120,5.41
120,5.41
120,5.42
120,5.42
120,5.44
120,5.44
120,5.48
120,5.48
120,5.53
120,5.53
120,5.53
120,5.53
120,5.79
120,5.79
120,5.94
120,5.94
120,5.97
120,5.97
120,6
120,6
120,6.08
120,6.08
121,3.25
121,3.25
121,4.78
121,4.78
121,5.2
121,5.2
122,3.66
122,3.66
122,5.75
122,5.75
122,5.84
122,5.84
122,4.6
122,4.6
122,3.1
122,3.1
122,3.37
122,3.37
122,3.52
122,3.52
122,3.58
122,3.58
122,4.02
122,4.02
122,4.06
122,4.06
122,4.1
122,4.1
122,4.17
122,4.17
122.7825536,4.668330837
122.7825536,4.668330837
123,3.1
123,3.1
123,3.24
123,3.24
123,4.68
123,4.68
123,4.93
123,4.93
123,5.34
123,5.34
123,5.42
123,5.42
123,6.29
123,6.29
124,4.27
124,4.27
124,4.37
124,4.37
124,4.83
124,4.83
124,4.98
124,4.98
124,4.3
124,4.3
124,5.6
124,5.6
124,2.7
124,2.7
125,3.61
125,3.61
125,3.85
125,3.85
125,5.08
125,5.08
125,6.07
125,6.07
125,2.9
125,2.9
125,4.5
125,4.5
125,4.9
125,4.9
125,5.9
125,5.9
125,7
125,7
