Age,Hf
2657,-0.4
2657,-9.6
2657,1.4
2657,-1.1
2657,4.5
2657,-8.0
2657,-8.0
2656,5.7
2656,0.2
2656,-0.1
2656,1.0
2656,-8.1
2655,1.1
2654,-7.0
2654,-2.8
2654,1.2
2654,-8.4
2654,1.3
2654,-0.8
2654,2.1
2653,1.7
2653,-2.5
2653,1.5
2653,-7.3
2653,1.9
2653,-7.5
2652,2.6
2652,2.0
2652,-0.2
2651,1.7
2651,-1.0
2650,7.9
2650,-19.9
2650,-13.3
2650,-2.4
2650,-1.8
2650,-1.6
2650,-1.5
2650,-1.4
2650,-0.4
2650,-0.4
2650,-0.3
2650,0.5
2650,-5.7
2649,-3.7
2649,5.4
2649,-2.8
2649,-1.1
2647,-1.8
2647,7.2
2647,0.9
2646,6.3
2646,-5.3
2646,-4.2
2646,-8.5
2646,3.6
2645,-0.4
2645,2.6
2645,1.2
2645,-3.3
2644,-2.3
2644,-6.3
2643,-4.9
2643,0.4
2642,1.3
2642,6.0
2642,-3.8
2641,0.1
2640,-3.9
2640,-5.5
2639,0.0
2639,-7.7
2639,-11.6
2638,-10.0
2637,-4.6
2637,7.2
2637,5.1
2637,6.2
2636,-4.3
2636,5.4
2636,-4.5
2636,-3.6
2636,-7.2
2636,-1.4
2635,-1.0
2635,-0.3
2635,0.7
2635,-0.8
2635,2.4
2635,0.0
2634,-1.6
2633,-1.1
2633,6.3
2632,0.4
2632,-8.2
2632,-8.7
2632,0.8
2631,-4.6
2631,7.1
2631,-9.5
2631,0.8
2631,3.1
2631,1.3
2631,1.7
2631,8.9
2630,3.9
2629,0.5
2629,3.0
2628,-1.9
2628,-1.9
2628,-0.5
2628,7.1
2627,0.3
2626,1.7
2625,1.8
2624,-2.4
2624,-7.0
2623,-1.8
2623,-1.8
2623,-0.2
2623,-9.2
2622,-2.2
2622,4.4
2622,-0.3
2622,-5.5
2621,1.4
2621,-0.8
2621,-7.6
2621,2.6
2621,0.0
2620,-1.3
2620,-2.0
2620,-3.0
2619,-1.3
2619,3.7
2619,-1.7
2619,1.0
2618,1.3
2617,5.4
2616,0.6
2616,-3.4
2616,-3.3
2615,7.2
2615,-1.0
2614,-1.8
2614,-2.0
2613,-1.3
2613,-1.8
2613,4.6
2612,-1.1
2612,-2.2
2611,-5.6
2611,1.3
2610,-2.2
2610,5.8
2609,-0.4
2609,-2.0
2609,-2.3
2608,-2.1
2608,-4.2
2608,-1.5
2608,-1.0
2608,1.2
2607,-1.6
2607,-14.1
2607,-6.2
2607,2.6
2607,-3.4
2606,-1.2
2606,-1.4
2606,-1.8
2605,-3.7
2605,-1.1
2605,-2.5
2604,-2.9
2604,0.3
2603,-4.8
2603,0.0
2603,-4.0
2602,0.7
2602,3.0
2601,-3.3
2601,-1.4
2600,-6.2
2600,1.8
2600,-11.1
2600,-7.0
2599,0.6
2598,1.0
2597,-1.8
2597,-5.7
2597,-5.1
2597,-4.7
2597,-4.1
2597,-3.8
2597,-3.7
2597,-3.7
2597,-3.2
2597,-2.4
2596,6.3
2596,-12.2
2595,-2.5
2594,-4.7
2594,6.1
2594,4.3
2593,-6.3
2592,2.2
2590,-3.4
2589,-9.1
2589,-1.7
2589,-1.3
2589,-12.7
2589,2.5
2588,-1.6
2588,-3.0
2588,3.8
2588,-16.5
2586,-2.3
2586,-4.1
2586,2.2
2585,-9.3
2585,1.2
2585,1.9
2584,-0.9
2584,2.3
2584,-7.3
2583,-1.9
2583,-4.4
2583,1.6
2582,1.2
2580,-1.5
2579,-1.0
2579,-1.0
2577,-0.1
2576,-2.4
2576,-1.7
2576,-10.4
2576,-0.6
2575,-0.5
2575,-1.7
2574,-4.1
2574,0.6
2574,2.4
2573,0.8
2573,-5.2
2573,1.1
2572,-2.8
2572,-1.2
2571,-3.0
2571,2.0
2570,-6.1
2569,-1.1
2569,-5.8
2569,5.1
2568,-6.4
