Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level  (C = 176.6 106km2/km),TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_87Sr/86Sr Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
76.5,0.1040518367476981,0.3994434708156631,0.911764705882353,0.8236528727913563,0.3994980889129957,0.1787030453469002,0.0039660056657223,0.5122809174538343,0.1423454240926328,0.3302019218224345,0.0433245259020169,0.5800000000000001,0.2930160738124212,0.5363415879205059,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.45,0.1040518367476981,0.3994434708156631,0.9107843137254904,0.8211336281169471,0.3991421436628405,0.1790540899085536,0.0040226628895184,0.511940474403783,0.1421808921005835,0.3307644001513352,0.0452297228688559,0.5740000000000004,0.2912166787210802,0.5331228282315323,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.4,0.1040518367476981,0.3994434708156631,0.9098039215686275,0.8186143834425379,0.3987861984126854,0.1794051344702071,0.0040793201133144,0.5116000313537318,0.1420163601085337,0.3313284206971231,0.0471309984096108,0.5680000000000007,0.2894145336573229,0.5288711312340338,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.35000000000002,0.1040518367476981,0.3994434708156631,0.9088235294117648,0.8160951387681288,0.3984302531625303,0.1797561790318605,0.0041359773371104,0.5112595883036808,0.1418518281164845,0.3318947545681947,0.0462616135676878,0.5620000000000002,0.2875766113090932,0.5250803632596055,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.3,0.1040518367476981,0.3994434708156631,0.907843137254902,0.8135758940937196,0.3980743079123752,0.180107223593514,0.0041926345609065,0.5109191452536295,0.1416872961244348,0.3324610884392663,0.0453922287236963,0.5559999999999997,0.2857386889608637,0.5212895952851772,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.25,0.1040518367476981,0.3994434708156631,0.9068627450980392,0.8110566494193103,0.3977183626622201,0.1804582681551676,0.0042492917847025,0.5105787022035783,0.141522764132385,0.3330297356356215,0.0454466927616226,0.55,0.2838164490274216,0.5171079777002408,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.2,0.1040518367476981,0.3994434708156631,0.9058823529411764,0.8085374047449011,0.3973624174120648,0.180809312716821,0.0043059490084985,0.5102382591535269,0.1413582321403357,0.3336741112984967,0.0455084099424845,0.5440000000000005,0.2818686984186984,0.5128698769981035,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.15,0.1040518367476981,0.3994434708156631,0.9049019607843136,0.8060181600704919,0.3970064721619096,0.1811603572784746,0.0043626062322946,0.5098978161034757,0.1411937001482859,0.3343135467456512,0.0474169085934576,0.5380000000000007,0.280015628243175,0.5086387350903608,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.10000000000002,0.1040518367476981,0.3994434708156631,0.9039215686274508,0.8034989153960826,0.3966505269117545,0.1815114018401281,0.0044192634560906,0.5095573730534247,0.1410291681562365,0.3349584362274684,0.0493279641867511,0.5320000000000003,0.2784198960589421,0.5049163596544137,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.05,0.1040518367476981,0.3994434708156631,0.9029411764705882,0.8009796707216735,0.3962945816615993,0.1818624464017815,0.0044759206798866,0.5092169300033734,0.140864636164187,0.3356033257092856,0.051239019782089,0.5259999999999998,0.2768241638747091,0.5011939842184666,0.0,0.02,0.05844155844155844,0.7534923705136471,0.09411764705882353,0.5991735537190083
76.0,0.1040518367476981,0.3994434708156631,0.9019607843137256,0.7984604260472643,0.3959386364114442,0.1822134909634351,0.0045325779036827,0.5088764869533222,0.1407001041721374,0.3362536093340455,0.0550039503495657,0.52,0.2752908426637025,0.4971252609864678,0.0,0.02,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.95,0.1040518367476981,0.3994434708156631,0.9009754655631096,0.7959411813728551,0.3956482707709012,0.1825083056821831,0.0045892351274787,0.5085136271763263,0.1404968325256636,0.3369074476772938,0.0587651522530941,0.5140000000000005,0.2737035123766621,0.4931474811799164,0.0,0.0195,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.9,0.1040518367476981,0.3994434708156631,0.8999901468124939,0.793421936698446,0.3953579051303584,0.1828031204009312,0.0046458923512747,0.5081507673993305,0.1402935608791894,0.3375648083298821,0.0625226223824198,0.5080000000000008,0.2721709961133191,0.4890315682682005,0.0,0.019,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
75.85000000000002,0.1040518367476981,0.3994434708156631,0.899004828061878,0.7909026920240367,0.3950675394898153,0.1830979351196793,0.0047025495750708,0.5077879076223344,0.1400902892327153,0.3382273855754426,0.0635117447633303,0.5020000000000002,0.2707295247090692,0.4850305343064976,0.0,0.0185,0.049783549783549784,0.7270204356235809,0.08235294117647059,0.5655253837072018
