Age,BIO_ExtinctionIntensity (%),BIO_OriginationIntensity(%),BIO_Difference_Cubic,SEA_Modern land sea level,TEM_GAT,TEM_dT,CO2_pCO2 (ppm),O2_Mid O2%,O2_Range_Normalized,SR_Mean,SR_Range_Normalized,LIP_LIP_PDF,MAG_INT_mean,MAG_INT_std,MAG_POL_FREQUENCY,MAG_POL_FREQUENCY.3,ZIR_Count_PDF_d18O,ZIR_Interpolated_mean_d18O,ZIR_Count_PDF_Hf,ZIR_Interpolated_mean_Hf
3.05,0.04395988,0.152410066,0.909340822,0.008761423,0.041682089,0.920068734,0.058505666,0.058455035,0.208907766,0.951547777,0.082495805,0.244,0.454298227,0.393297946,0.231818182,0.38,0.028138528,0.786538462,0.258823529,-0.438735178
3,0.044236069,0.150360986,0.913489014,0.008824455,0.038827973,0.924964902,0.058498584,0.057576419,0.207939169,0.951831718,0.078824422,0.24,0.444712197,0.42071874,0.227272727,0.38,0.025974026,0.768025362,0.247058824,-0.166045549
2.95,0.044236069,0.150360986,0.911661247,0.008887486,0.037238743,0.927920058,0.058491501,0.056621773,0.20694719,0.952115659,0.075153039,0.236,0.439678254,0.424129191,0.222727273,0.3815,0.025974026,0.768025362,0.247058824,-0.166045549
2.9,0.044236069,0.150360986,0.909833481,0.008950518,0.035649512,0.930875213,0.058484419,0.055667126,0.205955212,0.952396825,0.079988528,0.232,0.464850752,0.419268295,0.218181818,0.383,0.025974026,0.768025362,0.247058824,-0.166045549
2.85,0.044236069,0.150360986,0.908005715,0.00901355,0.034060282,0.933830369,0.058477337,0.054712479,0.204963234,0.95267799,0.084824016,0.228,0.490023249,0.414407399,0.213636364,0.3845,0.025974026,0.768025362,0.247058824,-0.166045549
2.8,0.044236069,0.150360986,0.906177949,0.009076582,0.032471051,0.936785524,0.058470255,0.053757832,0.203971255,0.952959155,0.089659504,0.224,0.481277366,0.407593156,0.209090909,0.386,0.025974026,0.768025362,0.247058824,-0.166045549
2.75,0.044236069,0.150360986,0.904350182,0.009139614,0.030881821,0.93974068,0.058463173,0.052803185,0.202979277,0.95324032,0.094494993,0.22,0.472531482,0.400778913,0.204545455,0.3875,0.025974026,0.768025362,0.247058824,-0.166045549
2.7,0.044236069,0.150360986,0.902522416,0.009202645,0.029292591,0.942695835,0.058456091,0.051848538,0.201987298,0.953521486,0.099330481,0.216,0.473842124,0.386083065,0.2,0.389,0.025974026,0.768025362,0.247058824,-0.166045549
2.65,0.044236069,0.150360986,0.90069465,0.009265677,0.02770336,0.94565099,0.058449008,0.050893891,0.20099532,0.954010062,0.101224531,0.212,0.457651201,0.379958945,0.195454545,0.3905,0.025974026,0.768025362,0.247058824,-0.166045549
2.6,0.044236069,0.150360986,0.898866883,0.009328709,0.02611413,0.948606146,0.058441926,0.049939244,0.200003341,0.954498639,0.10311858,0.208,0.441460278,0.373834825,0.190909091,0.392,0.025974026,0.768025362,0.247058824,-0.166045549
